,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
110,110,3.0,0.659600019454956,"police, test, district, court, report, health, patients, september, positive, accuse","['national', 'domestic', 'workers', 'movement', 'thursday', 'call', 'special', 'legislation', 'protect', 'welfare', 'livelihoods', 'work', 'force', 'country', 'address', 'mediapersons', 'group', 'domestic', 'workers', 'clara', 'state', 'coordinator', 'emphasise', 'plight', 'wake', 'covid', 'pandemic', 'say', 'movement', 'hold', 'protest', 'country', 'thursday', 'workers', 'lose', 'livelihoods', 'outbreak', 'pandemic', 'falsely', 'perceive', 'carriers', 'viral', 'infection', 'say', 'ms', 'clara', 'domestic', 'workers', 'sole', 'breadwinners', 'families', 'loss', 'livelihood', 'unable', 'pay', 'rent', 'end', 'meet', 'resume', 'work', 'government', 'provide', 'financial', 'aid', 'month', 'april', 'december', 'withstand', 'financial', 'crisis', 'cause', 'pandemic', 'condemn', 'passage', 'key', 'labour', 'bill', 'parliament', 'say', 'undermine', 'security', 'livelihood', 'unorganised', 'workers', 'government', 'ensure', 'social', 'security', 'scheme', 'avail', 'domestic', 'workers']"
111,111,3.0,0.6195999979972839,"police, test, district, court, report, health, patients, september, positive, accuse","['funeral', 'union', 'minister', 'state', 'railways', 'suresh', 'angadi', 'carry', 'new', 'delhi', 'organisations', 'spread', 'north', 'karnataka', 'hold', 'condolence', 'meet', 'thursday', 'mourn', 'death', 'bjp', 'leader', 'recall', 'contribution', 'development', 'railway', 'facilities', 'state']"
112,112,3.0,0.847100019454956,"police, test, district, court, report, health, patients, september, positive, accuse","['residence', 'minister', 'state', 'railways', 'suresh', 'angadi', 'desert', 'place', 'thursday', 'house', 'sampige', 'road', 'sadashiv', 'nagar', 'belagavi', 'visitors', 'family', 'members', 'police', 'personnel', 'guard']"
113,113,2.0,0.6154000163078308,"house, official, india, chinese, plan, chief, spb, tamil, people, sing","['cbi', 'search', 'premise', 'half', 'dozen', 'officials', 'kitco', 'outreach', 'wing', 'institution', 'thursday', 'connection', 'probe', 'allege', 'misappropriation', 'agency', 'csr', 'fund', 'contract', 'involve', 'agency', 'raid', 'conduct', 'kochi', 'kottayam', 'premise', 'senior', 'officials', 'kitco', 'headquarter', 'kochi', 'connection', 'probe', 'instance', 'allege', 'misappropriation', 'csr', 'fund', 'accord', 'case', 'reach', 'intend', 'beneficiaries', 'serve', 'purpose', 'money', 'mean', 'md', 'agency', 'cyriac', 'davis', 'arraign', 'accuse', 'say', 'cbi', 'official', 'search', 'team', 'central', 'state', 'governments', 'stake', 'consultancy', 'agency', 'allege', 'case', 'fund', 'misappropriation', 'agency', 'engage', 'outreach', 'wing', 'institution', 'train', 'women', 'kuttampuzha', 'tribal', 'belt', 'bee', 'keep', 'make', 'value', 'add', 'products', 'bamboo', 'reeds', 'official', 'associate', 'implementation', 'initiative', 'question', 'cbi', 'earlier', 'say', 'project', 'handhold', 'dozen', 'women', 'implement', 'local', 'body', 'involve', 'project', 'say', 'project', 'run', 'controversy', 'forest', 'department', 'officials', 'area', 'implement', 'feign', 'ignorance', 'initiative', 'rti', 'activist', 'allege', 'kitco', 'officials', 'misappropriate', 'bulk', 'fund', 'mean', 'empower', 'tribal', 'women', 'probe', 'way', 'allege', 'irregularities', 'identify', 'kitco', 'head', 'office', 'allege', 'erroneous', 'design', 'effluent', 'treatment', 'plant', 'cochin', 'sez', 'lead', 'leakage', 'necessitate', 'intervention', 'state', 'pollution', 'control', 'board', 'mr', 'davis', 'unavailable', 'comment', 'vacb', 'probe', 'reveal', 'agency', 'slack', 'supervision', 'lead', 'crack', 'surface', 'palarivattom', 'flyover', 'years', 'commission', 'follow', 'senior', 'official', 'remand']"
114,114,3.0,0.5055000185966492,"police, test, district, court, report, health, patients, september, positive, accuse","['acharya', 'ng', 'ranga', 'agricultural', 'university', 'angrau', 'want', 'farmer', 'friendly', 'plan', 'action', 'chalk', 'link', 'varsity', 'developmental', 'research', 'activities', 'state', 'government', 'rythu', 'bharosa', 'kendras', 'rbks', 'accord', 'vice', 'chancellor', 'vishnu', 'vardhan', 'reddy', 'vice', 'chancellor', 'maiden', 'visit', 'sv', 'agricultural', 'college', 'tirupati', 'thursday', 'inaugurate', 'specially', 'design', 'gym', 'laboratories', 'students', 'faculty', 'prof', 'vishnu', 'vardhan', 'reddy', 'speak', 'media']"
115,115,3.0,0.9355999827384949,"police, test, district, court, report, health, patients, september, positive, accuse","['singer', 'p', 'balasubrahmanyam', 'health', 'condition', 'deteriorate', 'hours', 'extremely', 'critical', 'accord', 'health', 'bulletin', 'thursday']"
116,116,3.0,0.944100022315979,"police, test, district, court, report, health, patients, september, positive, accuse","['minister', 'information', 'kadambur', 'raju', 'launch', 'thursday', 'sms', 'facility', 'covid', 'test', 'result', 'send', 'immediately', 'patients', 'thoothukudi', 'medical', 'college', 'hospital']"
117,117,0.0,0.9650999903678894,"party, india, congress, day, house, opposition, sabha, bjp, people, bill","['narcotics', 'control', 'bureau', 'ncb', 'thursday', 'seek', 'time', 'bombay', 'high', 'court', 'reply', 'bail', 'pleas', 'file', 'actor', 'rhea', 'chakraborty', 'brother', 'showik', 'connection', 'drug', 'case', 'death', 'actor', 'sushant', 'singh', 'rajput']"
118,118,1.0,0.9398999810218811,"jones, temple, inscriptions, trump, india, period, vote, day, number, poll","['khazi', 'dakshina', 'kannada', 'udupi', 'chikkamagaluru', 'hassan', 'shivamogga', 'islamic', 'scholar', 'm', 'ibrahim', 'musliyar', 'bekal', 'pass', 'away', 'private', 'hospital', 'thursday', 'survive', 'wife', 'sons', 'daughters']"
119,119,4.0,0.583299994468689,"crore, level, water, land, allege, protest, revenue, september, work, market",['nan']
120,120,3.0,0.7692000269889832,"police, test, district, court, report, health, patients, september, positive, accuse","['ernakulam', 'rural', 'police', 'spar', 'blush', 'manage', 'rearrest', 'accuse', 'spate', 'thefts', 'robberies', 'hours', 'escape', 'custody', 'late', 'night', 'hours', 'tuesday']"
121,121,3.0,0.8334000110626221,"police, test, district, court, report, health, patients, september, positive, accuse","['kind', 'initiative', 'country', 'gram', 'panchayats', 'pune', 'zilla', 'parishad', 'pool', 'underutilised', 'health', 'fund', 'money', 'purchase', 'ambulances', 'firm', 'rural', 'health', 'infrastructure', 'amid', 'rise', 'covid', 'case', 'ayush', 'prasad', 'ceo', 'pune', 'zilla', 'parishad', 'say', 'probably', 'instance', 'rural', 'administration', 'district', 'take', 'lead', 'buy', 'ambulances', 'purchase', 'usually', 'fall', 'domain', 'state', 'government', 'sarpanch', 'gram', 'panchayat', 'tell', 'hindu', 'th', 'th', 'finance', 'commission', 'portion', 'fund', 'allot', 'gram', 'panchayats', 'rubric', 'health', 'lie', 'unutilised', 'gram', 'panchayats', 'know', 'use', 'health', 'money', 'generally', 'expend', 'local', 'level', 'sanitary', 'work', 'like', 'repair', 'drainage', 'systems', 'mr', 'prasad', 'innovative', 'direct', 'purchase', 'ambulances', 'section', 'maharashtra', 'village', 'panchayats', 'act', 'gram', 'panchayats', 'pass', 'resolutions', 'pool', 'money', 'contribute', 'share', 'proportion', 'population', 'obtain', 'technical', 'sanction', 'state', 'government', 'go', 'ahead', 'purchase', 'stop', 'government', 'marketplace', 'host', 'directorate', 'general', 'supply', 'disposals', 'common', 'user', 'goods', 'service', 'procure', 'say', 'ambulance', 'tata', 'winger', 'van', 'purchase', 'lakh', 'equip', 'portable', 'oxygen', 'cylinders', 'litre', 'capacity', 'global', 'position', 'auto', 'load', 'stretcher', 'facility', 'storage', 'space', 'aid', 'nurse', 'kit', 'driver', 'remuneration', 'cost', 'fuel', 'bear', 'zilla', 'parishad', 'cess', 'fund', 'authorities', 'say', 'mr', 'prasad', 'say', 'present', 'ambulances', 'purchase', 'remain', 'procure', 'week', 'ambulances', 'purchase', 'state', 'government', 'designate', 'rural', 'areas', 'equip', 'ferry', 'covid', 'patients', 'addition', 'ambulances', 'tremendous', 'boost', 'healthcare', 'rural', 'part', 'expect', 'significantly', 'firm', 'healthcare', 'infrastructure', 'pune', 'rural', 'witness', 'dramatic', 'surge', 'case', 'past', 'weeks', 'average', 'daily', 'case', 'surge', 'nearly', 'region', 'report', 'active', 'case', 'deaths', 'time', 'patients', 'far', 'fling', 'areas', 'lack', 'easy', 'access', 'multi', 'specialty', 'hospitals', 'ambulances', 'fully', 'equip', 'cater', 'urgent', 'need', 'critical', 'patients', 'hope', 'eliminate', 'problems', 'new', 'fleet', 'ambulances', 'say', 'mr', 'prasad', 'pune', 'zilla', 'parishad', 'authorities', 'say', 'covid', 'case', 'dwindle', 'vehicles', 'convert', 'ambulances', 'permanent', 'augmentation', 'pune', 'rural', 'healthcare', 'infrastructure', 'isn', 'time', 'pune', 'zilla', 'parishad', 'come', 'novel', 'solution', 'amid', 'covid', 'crisis', 'april', 'come', 'box', 'solution', 'place', 'errant', 'spouses', 'institutional', 'quarantine', 'counter', 'rise', 'case', 'domestic', 'violence', 'lockdown']"
122,122,4.0,0.9617000222206116,"crore, level, water, land, allege, protest, revenue, september, work, market","['cpi', 'mp', 'k', 'ragesh', 'open', 'letter', 'deputy', 'chairman', 'harivansh', 'question', 'motive', 'allegedly', 'throw', 'rule', 'parliamentary', 'procedures', 'aside', 'ignore', 'demand', 'vote', 'passage', 'farm', 'bill']"
123,123,3.0,0.9958999752998352,"police, test, district, court, report, health, patients, september, positive, accuse","['bengaluru', 'lad', 'l', 'rahul', 'show', 'little', 'concern', 'allegiance', 'home', 'dismantle', 'royal', 'challengers', 'bangalore', 'rcb', 'sparkle', 'unbeaten', 'century', 'kings', 'xi', 'punjab', 'kxip', 'dubai', 'international', 'stadium', 'thursday', 'rahul', 'ball', 'lace', 'fours', 'seven', 'sixes', 'propel', 'kxip', 'comfortable', 'run', 'victory', 'kxip', 'amass', 'overs', 'skittle', 'rcb', 'overs', 'rahul', 'rcb', 'player', 'flow', 'record', 'second', 'ipl', 'century', 'get', 'go', 'crisp', 'square', 'cut', 'dale', 'steyn', 'pierce', 'tight', 'field', 'umesh', 'yadav', 'spar', 'rahul', 'launch', 'fast', 'bowler', 'th', 'yuzvendra', 'chahal', 'pick', 'bowlers', 'leg', 'spinner', 'stray', 'pad', 'rahul', 'unleash', 'sweep', 'good', 'effect', 'year', 'old', 'cut', 'loose', 'overs', 'smash', 'sixes', 'fours', 'uncharacteristically', 'rcb', 'skipper', 'virat', 'kohli', 'drop', 'sitters', 'deep', 'rahul', 'beneficiary', 'occasion', 'hardly', 'believe', 'luck', 'kxip', 'skipper', 'end', 'score', 'half', 'team', 'total', 'rcb', 'pacers', 'life', 'easy', 'kxip', 'umesh', 'spray', 'leg', 'steyn', 'bowl', 'short', 'wide', 'navdeep', 'saini', 'team', 'standout', 'pacer', 'maintain', 'good', 'length', 'punish', 'slide', 'begin', 'rcb', 'trouble', 'continue', 'poor', 'chase', 'lose', 'wickets', 'overs', 'include', 'key', 'man', 'kohli', 'opener', 'devdutt', 'padikkal', 'show', 'promise', 'previous', 'match', 'cramp', 'room', 'leave', 'arm', 'seamer', 'sheldon', 'cottrell', 'lefthander', 'awkward', 'pull', 'slice', 'ravi', 'bishnoi', 'mid', 'young', 'australian', 'wicketkeeper', 'batsman', 'josh', 'philippe', 'trap', 'pad', 'mohammed', 'shami', 'duck', 'wicket', 'kohli', 'dismiss', 'similar', 'fashion', 'padikkal', 'spell', 'big', 'trouble', 'rcb', 'aaron', 'finch', 'b', 'villiers', 'try', 'repair', 'damage', 'run', 'stand', 'grossly', 'inadequate', 'rest', 'contest', 'drudge', 'purpose', 'rcb', 'truly', 'leggies', 'bishnoi', 'ashwin', 'pick', 'wickets', 'kxip', 'punjab', 'notch', 'win', 'match', 'bengaluru', 'outfit', 'humble', 'sparkle', 'start', 'campaign', 'days', 'earlier', 'scoreboard', 'kings', 'xi', 'punjab', 'l', 'rahul', 'x', 'mayank', 'agarwal', 'chahal', 'x', 'nicholas', 'pooran', 'villiers', 'dube', 'x', 'glenn', 'maxwell', 'finch', 'dube', 'karun', 'nair', 'x', 'extras', 'lb', 'nb', 'total', 'wkts', 'overs', 'fall', 'wickets', 'agarwal', 'overs', 'pooran', 'maxwell', 'rcb', 'bowl', 'umesh', 'steyn', 'saini', 'chahal', 'washington', 'dube', 'royal', 'challengers', 'devdutt', 'padikkal', 'bishnoi', 'cottrell', 'aaron', 'finch', 'bishnoi', 'x', 'josh', 'philippe', 'lbw', 'shami', 'virat', 'kohli', 'bishnoi', 'cottrell', 'villiers', 'sarfaraz', 'm', 'ashwin', 'x', 'washington', 'sundar', 'mayank', 'bishnoi', 'x', 'shivam', 'dube', 'maxwell', 'x', 'umesh', 'yadav', 'bishnoi', 'navdeep', 'saini', 'm', 'ashwin', 'x', 'dale', 'steyn', 'yuzvendra', 'chahal', 'lbw', 'm', 'ashwin', 'extras', 'lb', 'total', 'overs', 'fall', 'wickets', 'padikkal', 'overs', 'philippe', 'kohli', 'finch', 'villiers', 'dube', 'umesh', 'washington', 'saini', 'kings', 'xi', 'bowl', 'cottrell', 'shami', 'bishnoi', 'ashwin', 'neesham', 'maxwell']"
124,124,5.0,0.9839000105857849,"farmers, india, bill, health, farm, price, protest, market, patients, care","['photo', 'handout', 'tiruchi', 'new', 'ambulances', 'add', 'tiruchi', 'district', 'fleet', 'emergency', 'ambulance', 'service', 'monday', 'minister', 'tourism', 'vellamandi', 'natarajan', 'minister', 'backward', 'class', 'valarmathi', 'flag', 'ambulances', 'district', 'ambulances', 'include', 'fit', 'ventilators', 'emergency', 'equipment', 'neonatal', 'care', 'newly', 'inaugurate', 'ambulances', 'station', 'government', 'hospitals', 'lalgudi', 'thuvakudi', 'kattuputhur', 'officials', 'say', 'ambulances', 'district', 'dedicate', 'ferry', 'covid', 'patients', 'additional', 'ambulances', 'assist', 'transportation', 'patients', 'areas', 'mr', 'natarajan', 'say', 'state', 'government', 'allot', 'ambulances', 'tiruchi', 'keep', 'mind', 'necessity', 'region', 'ambulances', 'fit', 'fusion', 'pump', 'deflator', 'ventilator', 'emergencies', 'say', 'eom']"
125,125,2.0,0.8935999870300293,"house, official, india, chinese, plan, chief, spb, tamil, people, sing","['tiruchi', 'city', 'police', 'deploy', 'team', 'inside', 'gandhi', 'market', 'carry', 'patrol', 'inside', 'outside', 'premise', 'market', 'remain', 'shut', 'wake', 'lockdown', 'impose', 'spread', 'covid', 'police', 'source', 'say', 'team', 'police', 'personnel', 'deploy', 'shift', 'round', 'clock', 'patrol', 'inside', 'outside', 'market', 'shop', 'outlets', 'inside', 'police', 'personnel', 'provide', 'walkie', 'talkie', 'set', 'communication', 'follow', 'accidents', 'report', 'inside', 'market', 'lockdown', 'trigger', 'anxiety', 'traders', 'police', 'source', 'complaints', 'thefts', 'have', 'take', 'place', 'inside', 'market', 'gate', 'prompt', 'deployment', 'team', 'round', 'clock', 'precautionary', 'measure', 'source', 'say', 'traders', 'seek', 'open', 'market', 'remain', 'shut', 'late', 'march', 'pandemic']"
126,126,4.0,0.9950000047683716,"crore, level, water, land, allege, protest, revenue, september, work, market","['photos', 'moorthy', 'tiruchi', 'members', 'cauvery', 'right', 'retrieval', 'committee', 'outfit', 'stag', 'protest', 'place', 'central', 'region', 'thursday', 'oppose', 'farm', 'bill', 'bring', 'central', 'government', 'demand', 'immediate', 'withdrawal', 'protest', 'members', 'burn', 'copy', 'bill', 'different', 'place', 'display', 'stiff', 'opposition', 'raise', 'slogans', 'centre', 'state', 'government', 'protest', 'outfit', 'hold', 'locations', 'tiruchi', 'thanjavur', 'perambalur', 'pudukottai', 'tiruvarur', 'district', 'tiruchi', 'city', 'group', 'members', 'cauvery', 'right', 'retrieval', 'committee', 'stag', 'protest', 'near', 'central', 'bus', 'stand', 'burn', 'copy', 'lead', 'tamizhaga', 'vivasayigal', 'sangam', 'president', 'p', 'chinnadurai', 'protest', 'members', 'arrest', 'police', 'protest', 'cauvery', 'right', 'retrieval', 'committee', 'members', 'thanjavur', 'district', 'hold', 'thanjavur', 'town', 'sengipatti', 'budalur', 'melaulur', 'stir', 'hold', 'near', 'thanjavur', 'railway', 'junction', 'lead', 'tamizh', 'desiya', 'periyakkam', 'town', 'secretary', 'ramasamy', 'burn', 'copy', 'bill', 'raise', 'slogans', 'demand', 'withdrawal', 'members', 'viduthalai', 'tamizh', 'puligal', 'katchi', 'lead', 'founder', 'kudanthai', 'arasan', 'stag', 'road', 'roko', 'bill', 'burn', 'copy', 'bill', 'lead', 'arrest', 'group', 'farmers', 'affiliate', 'cauvery', 'vivasayigal', 'paadhugaapu', 'sangam', 'lead', 'district', 'secretary', 'sundara', 'vimalanathan', 'stag', 'demonstration', 'near', 'kumbakonam', 'head', 'post', 'office', 'thanjavur', 'district', 'demand', 'centre', 'withdraw', 'bill', 'affect', 'agricultural', 'community', 'orathanadu', 'thanjavur', 'district', 'group', 'members', 'vivasaya', 'paadhukaapur', 'sangam', 'affiliate', 'viduthalai', 'chiruthaigal', 'katchi', 'stag', 'protest', 'raise', 'slogans', 'centre', 'state', 'government', 'cauvery', 'right', 'retrieval', 'committee', 'members', 'burn', 'copy', 'bill', 'protest', 'mannargudi', 'town', 'tiruvarur', 'district', 'allege', 'bill', 'aim', 'support', 'corporate', 'house', 'affect', 'farm', 'community', 'protesters', 'lead', 'outfit', 'chief', 'advisor', 'bharathiselvan', 'functionaries', 'social', 'democratic', 'party', 'india', 'resort', 'protest', 'issue', 'tiruchi', 'pudukottai', 'thanjavur', 'tiruvarur', 'tear', 'copy', 'bill', 'express', 'opposition', 'eom', 'ram']"
127,127,1.0,0.9958000183105469,"jones, temple, inscriptions, trump, india, period, vote, day, number, poll","['thai', 'lawmakers', 'meet', 'thursday', 'vote', 'propose', 'amendments', 'country', 'military', 'back', 'constitution', 'protesters', 'push', 'charter', 'reform', 'gather', 'outside', 'parliament', 'build', 'change', 'constitution', 'core', 'demand', 'coalition', 'protest', 'group', 'seek', 'recent', 'months', 'group', 'sunday', 'hold', 'biggest', 'protest', 'rally', 'years', 'want', 'new', 'elections', 'end', 'intimidation', 'political', 'activists', 'say', 'need', 'strengthen', 'democracy', 'protest', 'spearhead', 'students', 'come', 'prime', 'minister', 'prayuth', 'chan', 'ocha', 'government', 'face', 'broader', 'criticism', 'ineffective', 'direction', 'economy', 'sputter', 'knock', 'effect', 'coronavirus', 'pandemic', 'government', 'pressure', 'influential', 'thai', 'royalists', 'chagrin', 'protesters', 'seek', 'unprecedented', 'reform', 'monarchy', 'sacrosanct', 'institution', 'conservatives', 'current', 'charter', 'write', 'auspices', 'military', 'junta', 'take', 'power', 'coup', 'push', 'referendum', 'campaign', 'vote', 'illegal', 'prayuth', 'lead', 'coup', 'head', 'military', 'government', 'name', 'prime', 'minister', 'year', 'general', 'election', 'hold', 'rule', 'lay', 'new', 'charter', 'constitution', 'critics', 'main', 'aim', 'secure', 'grip', 'power', 'country', 'traditional', 'rule', 'elite', 'royalists', 'unelected', 'bureaucrats', 'military', 'break', 'political', 'party', 'constitution', 'come', 'people', 'say', 'kanyakorn', 'suntornprug', 'year', 'old', 'rally', 'outside', 'parliament', 'past', 'democratic', 'participation', 'people', 'day', 'debate', 'amendments', 'start', 'wednesday', 'see', 'largely', 'attempt', 'placate', 'protesters', 'ease', 'pressure', 'government', 'vote', 'house', 'parliament', 'expect', 'complete', 'late', 'night', 'grow', 'agreement', 'change', 'constitution', 'need', 'wide', 'divergence', 'change', 'key', 'section', 'dispute', 'include', 'position', 'privilege', 'monarchy', 'protesters', 'want', 'redefine', 'role', 'power', 'unelected', 'senate', 'senate', 'appoint', 'members', 'see', 'unequivocal', 'backers', 'present', 'government', 'greatly', 'influence', 'military', 'controversially', 'allow', 'vote', 'selection', 'prime', 'minister', 'provision', 'critics', 'slam', 'fundamentally', 'anti', 'democratic', 'proposals', 'charter', 'amendment', 'prime', 'minister', 'prayuth', 'govern', 'coalition', 'opposition', 'point', 'side', 'support', 'amend', 'section', 'establish', 'constitution', 'draft', 'assembly', 'write', 'new', 'charter', 'scratch', 'process', 'long', 'years', 'complete', 'unclear', 'senators', 'support', 'measure', 'pass', 'vote', 'amendments', 'conduct', 'joint', 'sit', 'house', 'motion', 'pass', 'need', 'support', 'senators', 'make', 'victory', 'uncertain', 'government', 'draft', 'support', 'revision', 'section', 'thailand', 'see', 'dozen', 'coups', 'constitutions', 'end', 'direct', 'rule', 'kings']"
128,128,3.0,0.723800003528595,"police, test, district, court, report, health, patients, september, positive, accuse","['market', 'regulator', 'securities', 'exchange', 'board', 'india', 'sebi', 'come', 'detail', 'guidelines', 'investment', 'advisors', 'ask', 'ensure', 'segregation', 'advisory', 'distribution', 'activities', 'client', 'level']"
129,129,4.0,0.5432000160217285,"crore, level, water, land, allege, protest, revenue, september, work, market","['demand', 'reduction', 'fee', 'raise', 'collective', 'parent', 'toc', 'public', 'school', 'vyttila', 'accept', 'management', 'follow', 'talk', 'hold', 'wednesday']"
130,130,0.0,0.8338000178337097,"party, india, congress, day, house, opposition, sabha, bjp, people, bill","['court', 'thursday', 'allow', 'narcotics', 'control', 'bureau', 'ncb', 'record', 'statements', 'showik', 'chakraborty', 'deepesh', 'sawant', 'inside', 'jail', 'drug', 'case', 'relate', 'actor', 'sushant', 'singh', 'rajput', 'death', 'alongwith', 'prime', 'accuse', 'rhea', 'chakraborty', 'currently', 'judicial', 'custody', 'mr', 'showik', 'ms', 'rhea', 'brother', 'sawant', 'work', 'cook', 'rajput', 'house', 'lodge', 'taloja', 'prison', 'neighbour', 'navi', 'mumbai', 'ncb', 'plea', 'special', 'court', 'narcotic', 'drug', 'psychotropic', 'substances', 'ndps', 'act', 'say', 'mobile', 'phone', 'data', 'show', 'showik', 'deep', 'involvement', 'case', 'show', 'touch', 'high', 'profile', 'personalities', 'theseaspects', 'need', 'probe', 'agency', 'say', 'want', 'question', 'sawant', 'afresh', 'say', 'special', 'judge', 'b', 'gurao', 'grant', 'permission', 'ncb', 'team', 'visit', 'taloja', 'prison', 'record', 'statements', 'presence', 'jail', 'officials']"
131,131,4.0,0.9943000078201294,"crore, level, water, land, allege, protest, revenue, september, work, market","['water', 'level', 'idukki', 'reservoir', 'near', 'blue', 'alert', 'level', 'thursday', 'control', 'room', 'open', 'arrangements', 'monitor', 'situation', 'rain', 'subside', 'inflow', 'remain', 'high', 'water', 'level', 'dam', 'reach', 'ft', 'blue', 'alert', 'level', 'ft', 'present', 'water', 'level', 'rule', 'curve', 'level', 'ft', 'fix', 'central', 'water', 'commission', 'rise', 'water', 'level', 'attribute', 'heavy', 'rainfall', 'days', 'low', 'generation', 'moolamattom', 'power', 'house', 'usually', 'generation', 'level', 'lower', 'monsoon', 'season', 'accord', 'dam', 'monitor', 'research', 'station', 'vazhathoppe', 'generation', 'level', 'nearly', 'mu', 'past', 'days', 'water', 'level', 'nearly', 'ft', 'short', 'red', 'alert', 'level', 'official', 'research', 'station', 'say', 'chance', 'open', 'shutter', 'reservoir', 'remote', 'situation', 'change', 'event', 'heavy', 'rainfall', 'power', 'generation', 'raise', 'control', 'water', 'level', 'case', 'increase', 'water', 'level', 'orange', 'alert', 'sound', 'ft', 'red', 'alert', 'ft', 'reservoir', 'level', 'ft', 'supriya', 'kseb', 'chief', 'engineer', 'dam', 'safety', 'drip', 'thursday', 'say', 'blue', 'alert', 'mark', 'internal', 'alert', 'advance', 'measure', 'take', 'prevent', 'sudden', 'water', 'release', 'dam', 'rain', 'subside', 'inflow', 'fall', 'safety', 'measure', 'ensure', 'control', 'release', 'water', 'case', 'heavy', 'rainfall', 'say', 'water', 'level', 'pampa', 'flow', 'blue', 'alert', 'level', 'inflow', 'come', 'thursday', 'kakki', 'water', 'level', 'rule', 'curve', 'level', 'add']"
132,132,3.0,0.9911999702453613,"police, test, district, court, report, health, patients, september, positive, accuse","['district', 'police', 'thursday', 'arrest', 'seven', 'persons', 'connection', 'allege', 'social', 'boycott', 'families', 'dalit', 'community', 'boy', 'upper', 'caste', 'community', 'marry', 'dalit', 'girl', 'gummalapadu', 'village', 'ravikamatham', 'mandal', 'visakhapatnam', 'district', 'arrest', 'base', 'complaint', 'lodge', 'victims', 'september', 'police', 'register', 'fir', 'book', 'case', 'persons', 'include', 'father', 'brother', 'boy', 'allege', 'involvement', 'case', 'arrest', 'seven', 'persons', 'accord', 'inspector', 'kothakota', 'police', 'station', 'lakshmana', 'murthy', 'situation', 'control', 'police', 'form', 'peace', 'committees', 'elderly', 'people', 'communities', 'precautionary', 'measure', 'police', 'post', 'picket', 'village', 'peace', 'rally', 'members', 'visakha', 'zilla', 'dalit', 'sanghala', 'ikya', 'vedika', 'locals', 'conduct', 'peace', 'rally', 'village', 'thursday', 'vedika', 'convenor', 'venkat', 'rao', 'say', 'treat', 'atrocity', 'case', 'dalits', 'culprits', 'bring', 'book', 'incidents', 'recur', 'earlier', 'vedika', 'members', 'give', 'representation', 'district', 'collector', 'vinay', 'chand', 'seek', 'action', 'culprits', 'say', 'recall', 'boy', 'girl', 'get', 'marry', 'families', 'dalit', 'community', 'allegedly', 'provide', 'milk', 'vegetables', 'essential', 'commodities']"
133,133,5.0,0.9879999756813049,"farmers, india, bill, health, farm, price, protest, market, patients, care","['protest', 'hold', 'outside', 'central', 'government', 'offices', 'state', 'friday', 'nationwide', 'stir', 'controversial', 'farm', 'bill', 'thiruvananthapuram', 'senior', 'communist', 'party', 'india', 'marxist', 'leader', 'india', 'kisan', 'sabha', 'vice', 'president', 'ramachandran', 'pillai', 'inaugurate', 'protest', 'outside', 'raj', 'bhavan', 'karshaka', 'samyuktha', 'samithi', 'spearhead', 'agitation', 'state', 'say', 'samithi', 'leaders', 'sathyan', 'mokeri', 'n', 'balagopal', 'urge', 'farmer', 'organisations', 'farmers', 'support', 'agitations', 'india', 'kisan', 'sangarsh', 'coordination', 'committee', 'call', 'nationwide', 'stir', 'oppose', 'farmers', 'produce', 'trade', 'commerce', 'promotion', 'facilitation', 'farmers', 'empowerment', 'protection', 'agreement', 'price', 'assurance', 'farm', 'service', 'essential', 'commodities', 'amendment', 'introduce', 'centre']"
134,134,1.0,0.9901000261306763,"jones, temple, inscriptions, trump, india, period, vote, day, number, poll","['collector', 'cum', 'district', 'election', 'officer', 'sivarasu', 'say', 'thursday', 'genuine', 'demand', 'establish', 'poll', 'booths', 'consider', 'speak', 'party', 'meet', 'hold', 'thursday', 'say', 'political', 'party', 'public', 'forums', 'send', 'representations', 'establish', 'new', 'poll', 'booths', 'take', 'account', 'distance', 'terrain', 'inconvenience', 'decision', 'take', 'necessary', 'step', 'take', 'inspect', 'areas', 'list', 'poll', 'booths', 'final', 'electoral', 'roll', 'release', 'january', 'process', 'summary', 'revision', 'electoral', 'roll', 'draft', 'roll', 'release', 'november', 'special', 'drive', 'carry', 'deletion', 'inclusion', 'voters', 'list', 'political', 'party', 'appoint', 'booth', 'level', 'agents', 'liaise', 'election', 'officials', 'deletion', 'inclusion', 'name', 'voters', 'list', 'apprise', 'officials', 'detail', 'voters', 'die', 'shift', 'areas', 'deletion', 'name', 'roll', 'create', 'awareness', 'new', 'voters', 'leave', 'draft', 'electoral', 'roll', 'apply', 'inclusion', 'later', 'strong', 'room', 'electronic', 'vote', 'machine', 'keep', 'open', 'presence', 'representatives', 'party']"
135,135,3.0,0.944100022315979,"police, test, district, court, report, health, patients, september, positive, accuse","['week', 'arrest', 'persons', 'connection', 'murder', 'youngster', 'allege', 'gang', 'war', 'sort', 'nettoor', 'city', 'police', 'thursday', 'arrest', 'accuse', 'case']"
