,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
10,10,2.0,0.9900000095367432,"house, official, india, chinese, plan, chief, spb, tamil, people, sing","['national', 'highways', 'authority', 'india', 'nhai', 'look', 'install', 'solar', 'light', 'roads', 'state', 'trial', 'basis', 'project', 'carry', 'krishnagiri', 'walajapet', 'national', 'highway', 'go', 'solar', 'help', 'environment', 'clean', 'energy', 'cut', 'heavy', 'power', 'bill', 'toll', 'operators', 'connect', 'grid', 'relief', 'investment', 'contractors', 'pay', 'power', 'bill', 'lakh', 'month', 'road', 'light', 'bring', 'explain', 'senior', 'official', 'nhai', 'step', 'toll', 'plazas', 'solar', 'light', 'study', 'function', 'couple', 'months', 'extend', 'solar', 'power', 'place', 'highway', 'concessionaire', 'provide', 'light', 'place', 'human', 'habitations', 'say', 'official', 'hitch', 'proposal', 'low', 'rate', 'unit', 'offer', 'tangedco', 'commercial', 'connections', 'charge', 'unit', 'propose', 'supply', 'power', 'grid', 'case', 'better', 'rate', 'fair', 'state', 'government', 'consider', 'request', 'say', 'tangedco', 'source', 'say', 'collect', 'rat', 'basis', 'stipulate', 'tamil', 'nadu', 'electricity', 'regulatory', 'authority', 'decision', 'official', 'say']"
11,11,3.0,0.9908999800682068,"police, test, district, court, report, health, patients, september, positive, accuse","['kottayam', 'record', 'highest', 'single', 'day', 'spike', 'covid', 'case', 'thursday', 'persons', 'test', 'positive', 'sars', 'cov', 'new', 'case', 'people', 'include', 'workers', 'industrial', 'unit', 'mallikassery', 'elikkulam', 'panchayat', 'contract', 'virus', 'local', 'transmission', 'total', 'case', 'age', 'elikkulam', 'panchayat', 'record', 'highest', 'number', 'case', 'test', 'positive', 'follow', 'kottayam', 'case', 'case', 'report', 'kumarakom', 'erattupetta', 'thiruvarppu', 'bharanganam', 'pampady', 'changanassery', 'aymanom', 'chembu', 'report', 'case', 'recoveries', 'day', 'district', 'active', 'case', 'view', 'surge', 'case', 'health', 'department', 'revise', 'treatment', 'strategy', 'commence', 'covid', 'second', 'line', 'treatment', 'centre', 'sltcs', 'promote', 'home', 'care', 'asymptomatic', 'patients', 'time', 'rise', 'caseload', 'stretch', 'treatment', 'network', 'medium', 'risk', 'high', 'risk', 'patients', 'increase', 'proportionately', 'take', 'note', 'situation', 'sltcs', 'open', 'pala', 'uzhavoor', 'changanassery', 'convert', 'line', 'treatment', 'centre', 'sltcs', 'equip', 'provide', 'treatment', 'medium', 'risk', 'patients', 'high', 'risk', 'patients', 'treat', 'government', 'medical', 'college', 'hospital', 'district', 'general', 'hospital', 'designate', 'covid', 'specialty', 'hospitals']"
12,12,3.0,0.9869999885559082,"police, test, district, court, report, health, patients, september, positive, accuse","['entrance', 'examinations', 'admission', 'course', 'academic', 'year', 'university', 'hyderabad', 'uoh', 'commence', 'thursday', 'day', 'students', 'write', 'examinations', 'india', 'hyderabad', 'close', 'students', 'appear', 'examination', 'college', 'integrate', 'study', 'build', 'university', 'covid', 'infect', 'students', 'give', 'exam', 'separate', 'isolate', 'exam', 'hall', 'arrange', 'university', 'take', 'precautions', 'lay', 'differently', 'abled', 'students', 'disability', 'write', 'entrance', 'examination', 'day', 'help', 'scribe', 'centre', 'statement', 'uoh', 'say', 'year', 'receive', 'highest', 'number', 'applications', 'admission', 'seat', 'post', 'graduate', 'research', 'program', 'university', 'students', 'take', 'entrance', 'examination', 'centre', 'india', 'centre', 'hyderabad', 'exams', 'conclude', 'september']"
13,13,4.0,0.583299994468689,"crore, level, water, land, allege, protest, revenue, september, work, market",['nan']
14,14,4.0,0.9399999976158142,"crore, level, water, land, allege, protest, revenue, september, work, market","['minister', 'animal', 'husbandry', 'udumalai', 'radhakrishnan', 'call', 'union', 'minister', 'animal', 'husbandry', 'new', 'delhi', 'thursday', 'seek', 'financial', 'assistance', 'crore', 'improve', 'infrastructural', 'requirements', 'department', 'animal', 'husbandry', 'state']"
15,15,0.0,0.9532999992370605,"party, india, congress, day, house, opposition, sabha, bjp, people, bill","['opposition', 'politicise', 'visit', 'chief', 'minister', 's', 'jagan', 'mohan', 'reddy', 'tirumala', 'stoop', 'new', 'low', 'play', 'religious', 'card', 'selfish', 'goals', 'say', 'sajjala', 'ramakrishna', 'reddy', 'adviser', 'public', 'affairs']"
16,16,3.0,0.9235000014305115,"police, test, district, court, report, health, patients, september, positive, accuse","['ticket', 'conductor', 'state', 'run', 'rtc', 'arrest', 'vikarabad', 'town', 'police', 'thursday', 'allegedly', 'thrash', 'abuse', 'wife', 'minor', 'daughters']"
17,17,2.0,0.6904000043869019,"house, official, india, chinese, plan, chief, spb, tamil, people, sing","['police', 'thursday', 'foil', 'attempt', 'bjp', 'cadres', 'lay', 'siege', 'sub', 'collector', 'office', 'protest', 'derogatory', 'comment', 'allegedly', 'minister', 'civil', 'supply', 'kodali', 'sri', 'venkateswara', 'rao', 'prime', 'minister', 'narendra', 'modi', 'uttar', 'pradesh', 'chief', 'minister', 'yogi', 'adityanath']"
18,18,2.0,0.6223999857902527,"house, official, india, chinese, plan, chief, spb, tamil, people, sing","['ttd', 'resolve', 'provide', 'cow', 'temple', 'newly', 'conceive', 'gudi', 'ko', 'matha', 'project']"
19,19,1.0,0.5741999745368958,"jones, temple, inscriptions, trump, india, period, vote, day, number, poll","['chief', 'minister', 's', 'jagan', 'mohan', 'reddy', 'thursday', 'take', 'sundarakanda', 'parayanam', 'organise', 'ttd', 'nada', 'neerajana', 'mandapam', 'locate', 'opposite', 'main', 'temple', 'complex', 'mr', 'jagan', 'mohan', 'reddy', 'accompany', 'karnataka', 'counterpart', 's', 'yediyurappa', 'take', 'hour', 'long', 'parayanam', 'pundits', 'recite', 'verse', 'sacred', 'religious', 'text', 'give', 'depth', 'narration', 'mean', 'spiritual', 'program', 'parayanam', 'initiative', 'ttd', 'organise', 'series', 'spiritual', 'program', 'past', 'days', 'invoke', 'bless', 'lord', 'save', 'humanity', 'clutch', 'covid', 'earlier', 'chief', 'minister', 'offer', 'prayers', 'hill', 'temple', 'arrival', 'main', 'temple', 'complex', 'traditionally', 'receive', 'priests', 'ttd', 'officials', 'temple', 'honour', 'lead', 'sanctum', 'sanctorum', 'stand', 'main', 'deity', 'offer', 'prayers', 'visit', 'sub', 'temples', 'go', 'round', 'temple', 'complex', 'customary', 'vedasirvachanams', 'authorities', 'honour', 'chief', 'minister', 'silk', 'vastrams', 'present', 'memento', 'laddu', 'prasadam', 'later', 'chief', 'minister', 'drive', 'karnataka', 'state', 'charities', 'formally', 'lay', 'foundation', 'stone', 'construction', 'massive', 'choultry', 'karnataka', 'government', 'enter', 'agreement', 'ttd', 'construction', 'choultry', 'acres', 'land', 'lease', 'powerpoint', 'presentation', 'karnataka', 'endowments', 'secretary', 'rohini', 'sindhuri', 'explain', 'relations', 'government', 'share', 'ttd', 'deal', 'length', 'design', 'project', 'take', 'whop', 'cost', 'crore', 'spend', 'time', 'mr', 'yediyurappa', 'family', 'members', 'padmavati', 'guest', 'house', 'mr', 'jagan', 'mohan', 'reddy', 'motor', 'tirupati', 'leave', 'vijayawada']"
